# English UI text	Chinese UI text
Log In	登录
Register	注册
BUPT Recruitment System	北邮招聘系统
Focus on efficient work	专注高效工作
TA Recruitment System	助教招聘系统
TA Application System	TA 申请系统
TA Recruitment System - Login	助教招聘系统 - 登录
TA Recruitment System - Admin Console	助教招聘系统 - 管理员控制台
TA Recruitment System - Module Organiser Console	助教招聘系统 - 课程组织者控制台
Teaching Assistant Recruitment System	教学助理招聘系统
Account (Student ID / Staff ID)	账号（学号 / 工号）
Enter your account	请输入账号
Password	密码
Enter your password	请输入密码
Login successful! Redirecting...	登录成功！正在跳转...
Role	角色
-- Select Role --	-- 请选择角色 --
TA Applicant	助教申请者
Module Organiser	课程组织者
System Administrator	系统管理员
System Administrator (Admin)	系统管理员（Admin）
Account ID (auto-prefixed by role)	账号 ID（根据角色自动添加前缀）
Select role first, then enter numbers	请先选择角色，再输入数字
Enter password (min. 6 characters)	请输入密码（至少 6 位）
Confirm Password	确认密码
Re-enter password	请再次输入密码
Admin Authorisation Code	管理员授权码
Enter admin authorisation code	请输入管理员授权码
Passwords do not match	两次输入的密码不一致
The blue one is cheering for your first login.	蓝色小伙伴正在为你的首次登录加油。
Invalid ID Format	ID 格式无效
Please select a role first to determine the ID prefix (ta/mo/ad).	请先选择角色，以确定 ID 前缀（ta/mo/ad）。
Invalid Characters	字符无效
ID can only contain numbers after the prefix.	前缀后只能输入数字。
Registration Successful	注册成功
Your account has been created successfully!	你的账号已创建成功！
Account ID:	账号 ID：
Role:	角色：
Please sign in with your new account.	请使用新账号登录。
Registration Failed	注册失败
This account is already registered. Please choose a different ID.	该账号已注册，请选择其他 ID。
Sign In Now	立即登录
Got It	知道了
Please enter your account	请输入账号
Please enter your password	请输入密码
Password must be at least 6 characters	密码至少需要 6 位
Please select a role	请选择角色
Incorrect admin authorisation code	管理员授权码错误
This account is already registered	该账号已注册
Registration failed:	注册失败：
Incorrect password, please try again	密码错误，请重试
Login failed:	登录失败：
Account not found, please register first	未找到账号，请先注册
Language	语言
Dashboard	仪表盘
Positions	岗位列表
